row_id,icd9_code,short_title,long_title
1,01716,Erythem nod tb-oth test,"Erythema nodosum with hypersensitivity reaction in tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
2,01720,TB periph lymph-unspec,"Tuberculosis of peripheral lymph nodes, unspecified"
3,01721,TB periph lymph-no exam,"Tuberculosis of peripheral lymph nodes, bacteriological or histological examination not done"
4,01722,TB periph lymph-exam unk,"Tuberculosis of peripheral lymph nodes, bacteriological or histological examination unknown (at present)"
5,01723,TB periph lymph-micro dx,"Tuberculosis of peripheral lymph nodes, tubercle bacilli found (in sputum) by microscopy"
6,01724,TB periph lymph-cult dx,"Tuberculosis of peripheral lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
7,01725,TB periph lymph-histo dx,"Tuberculosis of peripheral lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
8,01726,TB periph lymph-oth test,"Tuberculosis of peripheral lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
9,01730,TB of eye-unspec,"Tuberculosis of eye, unspecified"
10,01731,TB of eye-no exam,"Tuberculosis of eye, bacteriological or histological examination not done"
11,01732,TB of eye-exam unkn,"Tuberculosis of eye, bacteriological or histological examination unknown (at present)"
12,01733,TB of eye-micro dx,"Tuberculosis of eye, tubercle bacilli found (in sputum) by microscopy"
13,01734,TB of eye-cult dx,"Tuberculosis of eye, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
14,01735,TB of eye-histo dx,"Tuberculosis of eye, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
15,01736,TB of eye-oth test,"Tuberculosis of eye, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
16,01740,TB of ear-unspec,"Tuberculosis of ear, unspecified"
17,01741,TB of ear-no exam,"Tuberculosis of ear, bacteriological or histological examination not done"
18,01742,TB of ear-exam unkn,"Tuberculosis of ear, bacteriological or histological examination unknown (at present)"
19,01743,TB of ear-micro dx,"Tuberculosis of ear, tubercle bacilli found (in sputum) by microscopy"
20,01744,TB of ear-cult dx,"Tuberculosis of ear, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
21,01745,TB of ear-histo dx,"Tuberculosis of ear, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
22,01746,TB of ear-oth test,"Tuberculosis of ear, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
23,01750,TB of thyroid-unspec,"Tuberculosis of thyroid gland, unspecified"
24,01751,TB of thyroid-no exam,"Tuberculosis of thyroid gland, bacteriological or histological examination not done"
25,01752,TB of thyroid-exam unkn,"Tuberculosis of thyroid gland, bacteriological or histological examination unknown (at present)"
26,01753,TB of thyroid-micro dx,"Tuberculosis of thyroid gland, tubercle bacilli found (in sputum) by microscopy"
27,01754,TB of thyroid-cult dx,"Tuberculosis of thyroid gland, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
28,01755,TB of thyroid-histo dx,"Tuberculosis of thyroid gland, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
29,01756,TB of thyroid-oth test,"Tuberculosis of thyroid gland, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
30,01760,TB of adrenal-unspec,"Tuberculosis of adrenal glands, unspecified"
31,01761,TB of adrenal-no exam,"Tuberculosis of adrenal glands, bacteriological or histological examination not done"
32,01762,TB of adrenal-exam unkn,"Tuberculosis of adrenal glands, bacteriological or histological examination unknown (at present)"
33,01763,TB of adrenal-micro dx,"Tuberculosis of adrenal glands, tubercle bacilli found (in sputum) by microscopy"
34,01764,TB of adrenal-cult dx,"Tuberculosis of adrenal glands, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
35,01765,TB of adrenal-histo dx,"Tuberculosis of adrenal glands, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
36,01766,TB of adrenal-oth test,"Tuberculosis of adrenal glands, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
37,01770,TB of spleen-unspec,"Tuberculosis of spleen, unspecified"
38,01771,TB of spleen-no exam,"Tuberculosis of spleen, bacteriological or histological examination not done"
39,01772,TB of spleen-exam unkn,"Tuberculosis of spleen, bacteriological or histological examination unknown (at present)"
40,01773,TB of spleen-micro dx,"Tuberculosis of spleen, tubercle bacilli found (in sputum) by microscopy"
41,01774,TB of spleen-cult dx,"Tuberculosis of spleen, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
42,01775,TB of spleen-histo dx,"Tuberculosis of spleen, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
43,01776,TB of spleen-oth test,"Tuberculosis of spleen, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
44,01780,TB esophagus-unspec,"Tuberculosis of esophagus, unspecified"
45,01781,TB esophagus-no exam,"Tuberculosis of esophagus, bacteriological or histological examination not done"
46,01782,TB esophagus-exam unkn,"Tuberculosis of esophagus, bacteriological or histological examination unknown (at present)"
47,01783,TB esophagus-micro dx,"Tuberculosis of esophagus, tubercle bacilli found (in sputum) by microscopy"
48,01784,TB esophagus-cult dx,"Tuberculosis of esophagus, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
49,01785,TB esophagus-histo dx,"Tuberculosis of esophagus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
50,01786,TB esophagus-oth test,"Tuberculosis of esophagus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
51,01790,TB of organ NEC-unspec,"Tuberculosis of other specified organs, unspecified"
52,01791,TB of organ NEC-no exam,"Tuberculosis of other specified organs, bacteriological or histological examination not done"
103,01005,Prim TB complex-histo dx,"Primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
104,01006,Prim TB complex-oth test,"Primary tuberculous infection, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
